TokenSemantics,DependencyParse,ConstituencyParse,PartOfSpeechSequence,ttr,log_ttr,root_ttr,maas_ttr,mattr,msttr,hdd,mtld,mtld_ma_bid,mtld_ma_wrap,unique_unigrams,unique_bigrams,unique_trigrams
82.127154616653,6.234322611655657,5.121678338467902,2.2547853495111285,0.5590551181102362,0.8949842683543869,8.909872432961851,0.043668604161628134,0.7832195121951219,0.772,0.7988314899951756,85.30916245081507,77.04773947151115,72.65748031496064,160,272,292
92.05845550363225,8.421543270112,6.600361860408807,2.408007772439897,0.4442231075697211,0.8695159147374418,9.952977091707174,0.048314846398810514,0.8011037527593815,0.8020000000000002,0.8047707428425747,105.49403195035103,99.30782263670065,102.06573705179282,243,432,495
96.72076301396486,8.301095521295435,6.9551916806325735,2.5361216747641793,0.33551769331585846,0.8354620866542456,9.267822262476756,0.05708118393416772,0.8045938375350129,0.8040000000000002,0.8019508374219289,110.62355797076361,105.54676163533034,107.79292267365662,284,522,627
97.7078911000555,8.07366497023934,6.980466853792594,2.589636496774376,0.259727626459144,0.8056164702219393,8.3275012017166,0.06453651199665877,0.8074361593462699,0.8070000000000002,0.7985579374426423,115.42214651251737,112.304902664394,112.897859922179,301,565,698
99.345464081188,8.159965746771853,7.416993232035363,2.576937350737365,0.2337962962962963,0.7972237490073124,8.416666666666666,0.06514679854742732,0.8070088211708073,0.8088000000000002,0.7957766960307294,110.58663927515161,112.07937607028516,110.43904320987654,340,652,836
100.20088875214252,8.180158658515246,7.957784288562043,2.561928622352148,0.20063694267515925,0.7817237164834776,7.949882825719833,0.06829885392426964,0.8035765943458205,0.8032258064516132,0.7918754535486673,110.41717036049333,106.17801580208908,105.30509554140127,354,699,911
101.43188606091319,8.561033403620643,8.332626895109255,2.577409516080329,0.19268558951965065,0.7808252837321304,8.24730338355736,0.0671712297224954,0.8053729669096955,0.8044444444444446,0.794940823283118,108.70531576263623,107.41846506300115,107.91921397379913,394,806,1075
102.4860024457022,9.065897116257663,8.8345683591382,2.5849162341982344,0.17590822179732313,0.7727149999883921,8.04575823781792,0.06844775730780715,0.8054919236416948,0.8043902439024391,0.7951161914292105,110.36408465543637,107.44157428703987,107.15439770554494,410,861,1173
102.97078169663385,9.715892157563932,9.288961317448239,2.6060518960511487,0.17084572885677857,0.7723956331206147,8.287338716404983,0.06750589828736242,0.805824652777769,0.8051063829787235,0.7961616324951604,112.23066047143352,105.92204940568672,106.12707182320442,449,956,1312
103.78865860505111,10.320669292044334,9.762711093639457,2.64171477574218,0.1578345406023637,0.7654737479902621,8.083532631800194,0.068599031611555,0.8059052059051991,0.8053846153846155,0.7962287978192231,111.76988419665764,104.58409776552165,104.95386961494472,467,1016,1409
104.85346589926053,10.87900837208415,9.90326177646845,2.8825054995260038,0.15894955079474776,0.769250025986935,8.550835828478053,0.06666187266227584,0.8065518453427081,0.8063157894736842,0.7975372722105475,113.63001600000001,105.56655922545752,106.10158949550795,521,1144,1600
105.41651339880966,11.019655671485438,9.95824774478669,2.890911603317711,0.15272496831432192,0.7667739338092342,8.579827196832298,0.06665245360637857,0.8063147730930244,0.806031746031746,0.7977859457040661,114.89200520265942,104.16722932890394,104.70342205323193,545,1219,1724
105.79997459597851,11.075183822505888,9.83537354922042,2.89115456747409,0.1437335670464505,0.7616454979827004,8.409334990761971,0.0674383309050918,0.8073918197984776,0.8076470588235294,0.7987734056956037,116.18780187242484,105.2093288195276,106.17820625182588,561,1276,1826
106.1079400975487,11.00101315803908,9.680805016761802,2.8932261312554366,0.13483450895279436,0.7560113719210779,8.186131623027986,0.06841016203119218,0.8081385757492714,0.8082191780821917,0.7991696610708642,117.25291580732106,106.18787424682338,107.1228974498101,569,1301,1872
106.37375650277525,10.80017329462994,9.489637428205521,2.8919477523451147,0.1270886075949367,0.750905271104493,7.98739513312433,0.06925844687980523,0.8089156626506379,0.8088607594936709,0.7994040026261858,118.1059910149715,107.20838835362972,107.926582278481,575,1317,1899
106.81322241312878,10.82303720867024,9.583441490888914,2.890109397244121,0.12339819648789749,0.7493054435904759,8.010434580826855,0.0691629471798671,0.8098007202881572,0.81,0.8002248719227398,118.96187464995901,108.28863647651687,109.33981964878974,600,1392,2024
107.16621873064108,10.84194021984419,9.636732558252238,2.888415058623642,0.11801519892713455,0.7457848962576021,7.893796617187894,0.06963469572699606,0.8107887005650188,0.8119101123595506,0.8007579103562124,119.62367171532173,109.38757292719956,110.2179257934734,617,1446,2112
107.38556531445018,11.1518094319086,9.5862219012106,2.9090050914604295,0.11514129059468578,0.7446194977124244,7.928880416849433,0.06947311576543427,0.8110164074153524,0.8127659574468085,0.8010948889656571,120.26920953548455,109.40040599111413,110.54660480809785,644,1532,2254
107.53730233026857,11.383639980727082,9.378238787423696,2.931260225886864,0.11155537784886045,0.7425054096431135,7.889733889027191,0.06960924260237496,0.8114354936402767,0.8123999999999997,0.801359873122171,120.80927857875719,110.19894759136358,111.17732906837266,662,1585,2345
107.81312304056576,11.752345168378818,9.302906536423622,2.952640398052978,0.10918774966711052,0.7414958831927206,7.9166765949431985,0.06947657115442163,0.8116397849462923,0.8125714285714281,0.8018026644230347,120.95386444565447,110.46605553017338,111.37112421533193,683,1643,2444
107.83301398986855,11.735348475471952,9.282441661458527,2.970588278707247,0.1084271703596077,0.7420732096990312,8.045559067254791,0.06894896649427591,0.8115557998901013,0.8119999999999994,0.8021248218132088,121.13501984825709,110.58154320775766,111.68379949146386,709,1707,2546
