TokenSemantics,DependencyParse,ConstituencyParse,PartOfSpeechSequence,ttr,log_ttr,root_ttr,maas_ttr,mattr,msttr,hdd,mtld,mtld_ma_bid,mtld_ma_wrap,unique_unigrams,unique_bigrams,unique_trigrams
75.56265012673406,6.435778671041343,4.216193877197068,2.2682784780982197,0.7040358744394619,0.9350999041746645,10.513497623864074,0.02763699758347966,0.8606896551724152,0.85,0.8749206080002487,149.04741266088786,175.36142857142858,186.63677130044843,167,247,257
83.11732396411503,6.474558017989614,4.230447225386693,2.3226219863515287,0.3691275167785235,0.836689299207606,7.804232202366635,0.06161952881581284,0.8620100502512565,0.86,0.8397293532418886,168.86637162884642,185.85916562570975,187.00447427293065,175,265,283
88.39866490607903,8.931101138297633,5.089364646077301,2.3447448113922063,0.31044776119402984,0.8202413229640745,8.03574105657706,0.06360719003762165,0.8634138486312377,0.856923076923077,0.8369832533860584,182.79204518778693,184.3726758102053,187.4716417910448,220,361,414
91.70911823498304,9.88998736120247,5.518797260548857,2.4223139091473382,0.24,0.790203831842491,7.2,0.07101521540197644,0.8631257344300832,0.8566666666666667,0.834033390222853,185.5570425805042,184.52931526634217,186.21333333333334,231,382,443
93.62758921086122,10.088419465027819,5.713668752055695,2.4973099541400336,0.20442477876106194,0.7741733544177704,6.871835554915827,0.07396686648004103,0.864884366327476,0.859090909090909,0.8354252575901467,191.72324017203238,185.7375237338576,188.2017699115044,247,424,508
95.10631659356395,10.251481516038908,5.853786785156905,2.4962401137698427,0.17560617193240263,0.7589360481319872,6.478416094374013,0.07692242030017607,0.866067073170734,0.8629629629629627,0.8358286990134827,196.06335533159216,185.97313723353568,188.14474650991917,254,452,555
96.78567347351297,11.094175179867,5.943072483676133,2.8749821489138956,0.17661847894406035,0.7648215407919943,7.044841558422798,0.07345493008713533,0.8694033722438471,0.8664516129032256,0.840516334243048,200.23073839471544,190.80564888466125,193.51351351351352,307,560,706
97.97403031470093,11.651426087689753,6.026718295850058,2.846063593950188,0.15919037199124728,0.7553375145666184,6.806202924498575,0.0750043749793709,0.8714558740865757,0.8683333333333331,0.8420547418360802,203.11111111111111,193.98086894940116,195.80415754923413,317,583,743
98.85158486000147,11.84247625598327,6.1091606722624,2.896144888712811,0.1456216739235607,0.7476054158139742,6.620583346729484,0.07612931038768847,0.8723686818632413,0.8692682926829268,0.8426033717692741,203.61308243727598,194.15964637835174,195.2675374939526,328,606,775
99.40600484265016,11.74387296261976,6.118397639527963,2.8755781416265718,0.13394018205461639,0.7403875233527317,6.433313007687133,0.07719559992853378,0.8735783879539534,0.8713043478260869,0.8426190820059507,200.55159016160547,194.7202904963902,195.69440832249674,340,629,809
100.00420764497164,11.615101728465694,6.069440409045605,2.858865566066671,0.12612966601178782,0.7359761638202392,6.362988510895167,0.07752438060028448,0.8749839743589919,0.8727999999999999,0.843213866465714,200.79319236147956,196.48729356127978,197.48251473477407,354,664,863
100.58448915456863,11.499935627432787,6.013629327639386,2.8425967495833135,0.116254036598493,0.7287213927939286,6.137288314712918,0.07874247371575159,0.8759313367421727,0.8730909090909089,0.8434955697198168,200.97576163780258,197.71770261020035,197.9626838894869,357,678,882
101.05465565074023,11.36264279243713,5.936510560327442,2.824152801222559,0.10814375206066601,0.7225634794260613,5.955766170351087,0.07968026621319678,0.8765549597855546,0.8736666666666666,0.8434677533778783,202.88692532385065,197.44467966128775,197.48961424332344,363,698,908
101.32321202953355,11.231022885071589,5.867627406913712,2.8046703745334645,0.10179823224626638,0.7177878255734673,5.831004164828985,0.08026498132671017,0.8768502475247902,0.8744615384615384,0.8431345627577632,200.1550172720652,196.56058909796315,196.1441633648278,372,719,936
