normalized_TokenSemantics,normalized_DependencyParse,normalized_ConstituencyParse,normalized_PartOfSpeechSequence,normalized_unique_unigrams,normalized_unique_bigrams,normalized_unique_trigrams
0.25717490397725573,0.608109654198245,0.5175651392590835,0.18610118233230688,0.5065359477124183,0.898360655737705,0.9835526315789473
0.24776236612745745,0.6331205837020742,0.6464799849516396,0.1725796706001469,0.5700636942675159,0.9169329073482428,0.9839743589743589
0.24736424043837799,0.7215731032149935,0.6725382589020907,0.2011743146147353,0.5480769230769231,0.9131832797427653,0.9838709677419355
0.25050680463329933,0.6375639863027166,0.6419089917509572,0.17914543523795382,0.5686900958466453,0.9102564102564102,0.9807073954983923
0.24511470572253113,0.5604481888205758,0.6114725158125935,0.1978593540159035,0.5648148148148148,0.9071207430340558,0.9782608695652174
0.2476378606025122,0.6624300041337492,0.6433986660478973,0.20551495520253732,0.5569620253164557,0.9015873015873016,0.9808917197452229
0.24467497742614971,0.6167148932177117,0.6734245841746189,0.20273766720541142,0.5846153846153846,0.9228395061728395,0.9938080495356038
0.2466662165952857,0.6470341578144141,0.7265323022424774,0.19082362482675322,0.5679012345679012,0.9256965944272446,0.9906832298136646
0.25095649677081694,0.6826317216146826,0.7559046537893889,0.19047224001814608,0.5746031746031746,0.9203821656050956,0.987220447284345
0.2512433137693998,0.693086068216386,0.5831224233174515,0.1918588334671252,0.5859872611464968,0.9297124600638977,0.9967948717948718
0.24996131098952803,0.7508231466040892,0.5912549650762258,0.1991169950220521,0.56875,0.9341692789968652,0.9968553459119497
0.24934523446689688,0.6396941337393303,0.609287305081134,0.18949604261885777,0.5841269841269842,0.9394904458598726,0.9968051118210862
0.25449558993196647,0.6085476353905854,0.5242716697617769,0.19210089284664977,0.5916398713826366,0.9419354838709677,0.9967637540453075
0.25516612535862315,0.6560776743273118,0.4995247454501772,0.2011460503858391,0.6072607260726073,0.9470198675496688,0.9966777408637874
0.25432408188009803,0.6893961336032213,0.6821266810207539,0.19596724108982366,0.5791139240506329,0.9206349206349206,0.9904458598726115
0.2579651750716099,0.6090386169234603,0.5704955364143401,0.18997001388940848,0.5838709677419355,0.941747572815534,1.0
0.2558412866768881,0.6632899666085437,0.5393492149062113,0.20203646085998714,0.5915032679738562,0.9278688524590164,0.993421052631579
0.2580625401843416,0.5379670144929635,0.5106901941510977,0.19968105027134858,0.5878594249201278,0.9198717948717948,0.9935691318327974
0.2570220682428072,0.531880533337964,0.5727730481276291,0.19948111804821875,0.5774193548387097,0.9255663430420712,0.9935064935064936
